nr;x;y;h
1;5982341.28;7221109.54;198.34
2;5982441.371;7221112.367;197.49
3;5982541.462;7221115.194;199.61
4;5982238.362;7221206.805;185.96
5;5982338.453;7221209.631;186.27
6;5982438.544;7221212.458;185.7
7;5982538.635;7221215.285;184.85
8;5982638.726;7221218.112;182.13
9;5982738.817;7221220.939;196.77
10;5982035.352;7221301.242;194.96
11;5982135.444;7221304.069;188.95
12;5982235.535;7221306.896;190.39
13;5982335.626;7221309.723;189.19
14;5982435.717;7221312.549;188.24
15;5982535.808;7221315.376;187.19
16;5982635.899;7221318.203;185.92
17;5982735.99;7221321.03;184.45
18;5982836.082;7221323.857;182.36
19;5981932.435;7221398.506;191.16
20;5982032.526;7221401.333;191.65
21;5982132.617;7221404.16;191.08
22;5982232.708;7221406.987;190.34
23;5982332.799;7221409.814;189.58
24;5982432.89;7221412.641;188.28
25;5982532.981;7221415.467;187.57
